timestamp,shift,category,subcategory,time_span,aggregate,source_sheet
2021-09-01 00:00:00,1.0,Другие,Посадка,10.0,МШР №1,сентябрь 2021
2021-09-01 00:00:00,1.0,Другие,Посадка,10.0,МШР №2,сентябрь 2021
2021-09-01 00:00:00,2.0,Мех,заклепали ленту,13.0,МШР №3,сентябрь 2021
2021-09-01 00:00:00,2.0,Тех,перегруз,120.0,МШР №3,сентябрь 2021
2021-09-02 00:00:00,2.0,Электрик,маслостанция,87.0,МШР №2,сентябрь 2021
2021-09-04 00:00:00,1.0,Тех,перегруз,20.0,МШР №3,сентябрь 2021
2025-12-30 00:00:00,1.0,Тех,"шуровка,перегруз",19.0,МШР №1,декабрь 2025г     
2025-12-30 00:00:00,1.0,Мех,ППР,158.0,МШР №3,декабрь 2025г     
2025-12-30 00:00:00,2.0,Тех,перегруз,17.0,МШР №1,декабрь 2025г     
2026-01-03 00:00:00,2.0,Мех,подтяжка анкерных,32.0,МШЦ №4,Январ 2026 год
2026-01-04 00:00:00,1.0,Электрик,самопроизвольная остновка,50.0,МШР №3,Январ 2026 год
2026-01-04 00:00:00,1.0,Тех,забилсяпесковая насадка,10.0,МШР №3,Январ 2026 год
