timestamp,shift,category,subcategory,time_span,aggregate,source_sheet
2021-09-01 00:00:00,1.0,Другие,Посадка,10.0,МШР №1,сентябрь 2021
2021-09-01 00:00:00,1.0,Другие,Посадка,10.0,МШР №2,сентябрь 2021
2021-09-01 00:00:00,1.0,Другие,посадка,10.0,МШР №3,сентябрь 2021
2021-09-01 00:00:00,1.0,Другие,Посадка,10.0,МШР №4,сентябрь 2021
2021-09-01 00:00:00,2.0,Мех,заклепали ленту,13.0,МШР №3,сентябрь 2021
2021-09-01 00:00:00,2.0,Тех,перегруз,120.0,МШР №3,сентябрь 2021
2021-09-02 00:00:00,2.0,Электрик,маслостанция,87.0,МШР №2,сентябрь 2021
2021-09-04 00:00:00,1.0,Тех,перегруз,20.0,МШР №3,сентябрь 2021
2021-09-04 00:00:00,2.0,Тех,перегруз,10.0,МШР №1,сентябрь 2021
2021-09-04 00:00:00,2.0,Тех,перегруз,10.0,МШР №3,сентябрь 2021
2021-09-06 00:00:00,2.0,Другие,по линии 35 квт,720.0,МШР №1,сентябрь 2021
2021-09-06 00:00:00,2.0,Другие,по линии 35 квт,720.0,МШР №2,сентябрь 2021
2021-09-06 00:00:00,2.0,Другие,по линии 35 квт,720.0,МШР №3,сентябрь 2021
2021-09-06 00:00:00,2.0,Другие,по линии 35 квт,720.0,МШР №4,сентябрь 2021
2021-09-07 00:00:00,1.0,Другие,по линии 35 квт,720.0,МШР №1,сентябрь 2021
2021-09-07 00:00:00,1.0,Другие,по линии 35 квт,720.0,МШР №2,сентябрь 2021
2021-09-07 00:00:00,1.0,Другие,по линии 35 квт,720.0,МШР №3,сентябрь 2021
2021-09-07 00:00:00,1.0,Другие,по линии 35 квт,720.0,МШР №4,сентябрь 2021
2021-09-07 00:00:00,2.0,Другие,по линии 35 квт,720.0,МШР №1,сентябрь 2021
2021-09-07 00:00:00,2.0,Другие,по линии 35 квт,720.0,МШР №2,сентябрь 2021
2021-09-07 00:00:00,2.0,Другие,по линии 35 квт,720.0,МШР №3,сентябрь 2021
2021-09-07 00:00:00,2.0,Другие,по линии 35 квт,720.0,МШР №4,сентябрь 2021
