дата,смена,час,тип_данных,значение,агрегат
2026-01-01,1,21,производительность,34.5,мельница_1
2026-01-01,1,21,производительность,0.0,мельница_2
2026-01-01,1,21,производительность,0.0,мельница_3
2026-01-01,1,21,производительность,31.0,мельница_4
2026-01-01,1,21,производительность,11.43,мельница_5
2026-01-01,1,21,производительность,76.93,всего
2026-01-01,1,22,производительность,38.4,мельница_1
2026-01-01,1,22,производительность,0.0,мельница_2
2026-01-01,1,22,производительность,0.0,мельница_3
2026-01-01,1,22,производительность,33.0,мельница_4
2026-01-01,1,22,производительность,12.1,мельница_5
2026-01-01,1,22,производительность,83.5,всего
2026-01-01,1,23,плотность,70.0,мельница_1
2026-01-01,1,23,плотность,58.0,мельница_2
2026-01-01,1,23,плотность,68.0,мельница_4
2026-01-01,1,23,плотность,64.0,мельница_5
2026-01-01,1,23,слив_гидроциклон,44.0,ГЦ_1ст
2026-01-01,1,23,слив_гидроциклон,30.0,ГЦ_2ст
2026-01-01,1,23,классификатор,60.0,классификатор_1
2026-01-01,1,23,классификатор,51.0,классификатор_5
2026-01-01,1,23,ситовой_анализ,53.0,ГЦ_1ст
2026-01-01,1,23,ситовой_анализ,75.0,ГЦ_2ст
2026-01-01,1,23,производительность,39.6,мельница_1
2026-01-01,1,23,производительность,0.0,мельница_2
2026-01-01,1,23,производительность,0.0,мельница_3
2026-01-01,1,23,производительность,33.0,мельница_4
2026-01-01,1,23,производительность,13.88,мельница_5
2026-01-01,1,23,производительность,86.47999999999999,всего
2026-01-01,1,23,выпуск_мкр,1.0,МКР
2026-01-01,1,24,производительность,39.5,мельница_1
2026-01-01,1,24,производительность,0.0,мельница_2
2026-01-01,1,24,производительность,0.0,мельница_3
2026-01-01,1,24,производительность,35.0,мельница_4
2026-01-01,1,24,производительность,12.9,мельница_5
2026-01-01,1,24,производительность,87.4,всего
2026-01-01,1,1,производительность,40.0,мельница_1
2026-01-01,1,1,производительность,0.0,мельница_2
2026-01-01,1,1,производительность,0.0,мельница_3
2026-01-01,1,1,производительность,34.0,мельница_4
2026-01-01,1,1,производительность,12.0,мельница_5
2026-01-01,1,1,производительность,86.0,всего
2026-01-01,1,1,выпуск_мкр,1.0,МКР
2026-01-01,1,2,производительность,40.3,мельница_1
2026-01-01,1,2,производительность,0.0,мельница_2
2026-01-01,1,2,производительность,0.0,мельница_3
2026-01-01,1,2,производительность,34.0,мельница_4
2026-01-01,1,2,производительность,11.635,мельница_5
2026-01-01,1,2,производительность,85.935,всего
