дата,смена,тип_записи,плотность_мельница_1_ср,плотность_мельница_2_ср,плотность_мельница_3_ср,плотность_мельница_4_ср,плотность_мельница_5_ср,слив_гидроциклон_1ст_ср,слив_гидроциклон_2ст_ср,производительность_итого,мельница,счетчик_начало,счетчик_конец,переработка,диаметр_мм,вес_тн,примечание,время_начала,время_окончания,длительность,причина,мкр_остаток_начало,мкр_выпуск,мкр_отгружено,мкр_остаток_конец,время,ph_слив_гц1,ph_слив_гц1_ср
2026-01-01,1,итого_смена,69.0,60.0,,68.0,65.0,44.5,31.0,1025.1979999999999,,,,,,,,,,,,,,,,,,
2026-01-01,1,счетчик,,,,,,,,,1.0,21.0,510168.7,510645.7,,,,,,,,,,,,,,
2026-01-01,1,счетчик,,,,,,,,,2.0,22.0,810050.111,810050.111,,,,,,,,,,,,,,
2026-01-01,1,счетчик,,,,,,,,,3.0,23.0,502129.0,502531.0,,,,,,,,,,,,,,
2026-01-01,1,счетчик,,,,,,,,,4.0,24.0,8613.78,8759.978000000001,,,,,,,,,,,,,,
2026-01-01,1,счетчик,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,
2026-01-01,1,счетчик,,,,,,,,,6.0,2.0,,,,,,,,,,,,,,,,
2026-01-01,1,загрузка_шаров,,,,,,,,,1.0,,,,60.0,0.2,новые,,,,,,,,,,,
2026-01-01,1,загрузка_шаров,,,,,,,,,2.0,,,,30.0,0.15,новые,,,,,,,,,,,
2026-01-01,1,загрузка_шаров,,,,,,,,,4.0,,,,60.0,0.2,новые,,,,,,,,,,,
2026-01-01,1,загрузка_шаров,,,,,,,,,5.0,,,,60.0,0.1,новые,,,,,,,,,,,
2026-01-01,1,простой,,,,,,,,,3.0,,,,,,,20:00:00,08:00:00,12часов,МШР стоит - ППР.,,,,,,,
2026-01-01,1,мкр,,,,,,,,,,,,,,,,,,,,73.0,10.0,,83.0,,,
2026-01-01,1,ph,,,,,,,,,,,,,,,,,,,,,,,,21:00,10.18,
2026-01-01,1,ph,,,,,,,,,,,,,,,,,,,,,,,,23:00,10.09,
2026-01-01,1,ph,,,,,,,,,,,,,,,,,,,,,,,,03:00,9.1,
2026-01-01,1,ph,,,,,,,,,,,,,,,,,,,,,,,,05:00,9.5,
2026-01-01,1,ph,,,,,,,,,,,,,,,,,,,,,,,,07:00,9.97,
2026-01-01,1,ph_среднее,,,,,,,,,,,,,,,,,,,,,,,,,,9.743333333333332
2026-01-01,2,итого_смена,69.0,52.0,,63.0,66.5,44.5,32.5,1018.772,,,,,,,,,,,,,,,,,,
2026-01-01,2,счетчик,,,,,,,,,1.0,9.0,510645.7,511132.9,,,,,,,,,,,,,,
2026-01-01,2,счетчик,,,,,,,,,2.0,10.0,810050.111,810050.111,,,,,,,,,,,,,,
2026-01-01,2,счетчик,,,,,,,,,3.0,11.0,502531.0,502926.0,,,,,,,,,,,,,,
2026-01-01,2,счетчик,,,,,,,,,4.0,12.0,101.317,237.889,,,,,,,,,,,,,,
2026-01-01,2,счетчик,,,,,,,,,5.0,13.0,,,,,,,,,,,,,,,,
2026-01-01,2,счетчик,,,,,,,,,6.0,14.0,,,,,,,,,,,,,,,,
2026-01-01,2,загрузка_шаров,,,,,,,,,1.0,,,,60.0,0.2,новые,,,,,,,,,,,
2026-01-01,2,загрузка_шаров,,,,,,,,,2.0,,,,30.0,0.2,новые,,,,,,,,,,,
2026-01-01,2,загрузка_шаров,,,,,,,,,4.0,,,,60.0,0.2,новые,,,,,,,,,,,
2026-01-01,2,загрузка_шаров,,,,,,,,,5.0,,,,60.0,0.1,новые,,,,,,,,,,,
2026-01-01,2,простой,,,,,,,,,3.0,,,,,,,08:00:00,20:00:00,12 часов,МШР стоит - ППР.,,,,,,,
2026-01-01,2,мкр,,,,,,,,,,,,,,,,,,,,83.0,8.0,,91.0,,,
2026-01-01,2,ph,,,,,,,,,,,,,,,,,,,,,,,,21:00,9.12,
2026-01-01,2,ph,,,,,,,,,,,,,,,,,,,,,,,,23:00,9.03,
2026-01-01,2,ph,,,,,,,,,,,,,,,,,,,,,,,,03:00,9.02,
2026-01-01,2,ph,,,,,,,,,,,,,,,,,,,,,,,,05:00,10.34,
2026-01-01,2,ph,,,,,,,,,,,,,,,,,,,,,,,,07:00,9.16,
2026-01-01,2,ph_среднее,,,,,,,,,,,,,,,,,,,,,,,,,,9.428333333333333
2026-01-02,1,итого_смена,67.5,59.5,,68.5,65.0,45.0,32.0,1017.086,,,,,,,,,,,,,,,,,,
2026-01-02,1,счетчик,,,,,,,,,1.0,21.0,511132.9,511610.7,,,,,,,,,,,,,,
2026-01-02,1,счетчик,,,,,,,,,2.0,22.0,810050.111,810050.111,,,,,,,,,,,,,,
2026-01-02,1,счетчик,,,,,,,,,3.0,23.0,502926.0,503328.0,,,,,,,,,,,,,,
2026-01-02,1,счетчик,,,,,,,,,4.0,24.0,237.889,375.175,,,,,,,,,,,,,,
2026-01-02,1,счетчик,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,
2026-01-02,1,счетчик,,,,,,,,,6.0,2.0,,,,,,,,,,,,,,,,
2026-01-02,1,загрузка_шаров,,,,,,,,,1.0,,,,60.0,0.3,новые,,,,,,,,,,,
2026-01-02,1,загрузка_шаров,,,,,,,,,2.0,,,,30.0,0.2,новые,,,,,,,,,,,
2026-01-02,1,загрузка_шаров,,,,,,,,,4.0,,,,60.0,0.15,новые,,,,,,,,,,,
2026-01-02,1,загрузка_шаров,,,,,,,,,5.0,,,,60.0,0.15,новые,,,,,,,,,,,
2026-01-02,1,простой,,,,,,,,,3.0,,,,,,,20:00:00,08:00:00,12часов,МШР стоит - ППР.,,,,,,,
2026-01-02,1,мкр,,,,,,,,,,,,,,,,,,,,91.0,8.0,,99.0,,,
2026-01-02,1,ph,,,,,,,,,,,,,,,,,,,,,,,,21:00,9.5,
2026-01-02,1,ph,,,,,,,,,,,,,,,,,,,,,,,,23:00,9.11,
2026-01-02,1,ph,,,,,,,,,,,,,,,,,,,,,,,,03:00,9.59,
2026-01-02,1,ph,,,,,,,,,,,,,,,,,,,,,,,,05:00,9.27,
2026-01-02,1,ph,,,,,,,,,,,,,,,,,,,,,,,,07:00,10.0,
2026-01-02,1,ph_среднее,,,,,,,,,,,,,,,,,,,,,,,,,,9.556666666666667
2026-01-02,2,итого_смена,68.0,57.5,,63.0,65.0,44.5,30.5,1017.516,,,,,,,,,,,,,,,,,,
2026-01-02,2,счетчик,,,,,,,,,1.0,9.0,511610.7,512074.7,,,,,,,,,,,,,,
2026-01-02,2,счетчик,,,,,,,,,2.0,10.0,810050.111,810050.111,,,,,,,,,,,,,,
2026-01-02,2,счетчик,,,,,,,,,3.0,11.0,503328.0,503746.0,,,,,,,,,,,,,,
2026-01-02,2,счетчик,,,,,,,,,4.0,12.0,375.175,510.69100000000003,,,,,,,,,,,,,,
2026-01-02,2,счетчик,,,,,,,,,5.0,13.0,,,,,,,,,,,,,,,,
2026-01-02,2,счетчик,,,,,,,,,6.0,14.0,,,,,,,,,,,,,,,,
2026-01-02,2,загрузка_шаров,,,,,,,,,1.0,,,,60.0,0.15,новые,,,,,,,,,,,
2026-01-02,2,загрузка_шаров,,,,,,,,,2.0,,,,30.0,0.15,новые,,,,,,,,,,,
2026-01-02,2,загрузка_шаров,,,,,,,,,4.0,,,,60.0,0.15,новые,,,,,,,,,,,
